🚤稳定-港台,#genre#
NOWsports,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=11
无线新闻台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=7
无线财经资讯台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=8
有线新闻台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=18
有线财经资讯台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=22
有线体育台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=21
有线18台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=19
有线603,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=20
RHK31,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=16
RHK32,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=17
翡翠台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=0
J2,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=9
明珠台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=10
viutv,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=6
香港开电视,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=5
香港卫视,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=4
凤凰中文台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=1
凤凰资讯台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=2
凤凰香港台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=3
耀才财经台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=15
澳门连花,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=23
澳门Macau,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=24
澳门资讯,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=25
澳视澳门,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=26
澳门葡语,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=27
澳门综艺,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=28
NOW新闻台(备),http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=12


📸台湾-代理,#genre#
中天新闻HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=29
TVBS新闻台HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=30
东森新闻,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=31
台视新闻HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=32
三立LIVE,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=33
壹新闻HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=34
民视新闻,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=35
中视新闻HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=36
华视新闻资讯HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=37
寰宇新闻台,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=38
中视HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=39
台视HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=40
民视HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=41
华视HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=42
TVBS HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=43
TVBS欢乐台HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=44
民视台湾台HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=45
民视第一台HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=46
民视综艺,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=47
民视旅游,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=48
民视影剧,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=49
纬来体育HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=50
纬来日本HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=51
纬来育乐HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=52
ELEVEN1,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=53
ELEVEN2,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=54
ELTA体育1,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=55
ELTA体育2,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=56
中天新闻HD(备),http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=29
中天新闻HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=29
TVBS新闻台HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=30
东森新闻,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=31
台视新闻HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=32
三立LIVE,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=33
壹新闻HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=34
民视新闻,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=35
中视新闻HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=36
华视新闻资讯HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=37
寰宇新闻台,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=38
中视HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=39
台视HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=40
民视HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=41
华视HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=42
TVBS HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=43
TVBS欢乐台HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=44
民视台湾台HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=45
民视第一台HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=46
民视综艺,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=47
民视旅游,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=48
民视影剧,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=49
纬来体育HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=50
纬来日本HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=51
纬来育乐HD,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=52
ELEVEN1,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=53
ELEVEN2,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=54
ELTA体育1,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=55
ELTA体育2,http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=56
大爱 1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱 2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
中天新闻HD(备),http://43.139.33.114/汢妭癙/tbs.php?tid=gt&id=29



🏀体育-系列,#genre#
NOW体育台,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=11
有线体育台,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=21
纬来体育HD,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=50
ELEVEN1,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=53
ELEVEN2,http://wxwxw.qwl1965.top:8890/汢妭癙/tbs.php?tid=gt&id=54
魅力足球,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=meiliyinyueHD_7000
劲爆体育,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=jinbaotiyuHD_3000
劲爆体育,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=jinbaotiyuHD_7000
CCTV风云足球,http://www.kitcc.cn:8888/udp/239.253.43.14:5146
CCTV风云足球,http://www.kitcc.cn:8888/udp/239.253.43.20:5146
CCTV-5体育,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV5HD_3000
CCTV-5体育,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV5HD_7000
CCTV-5+体育赛事,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV5plusHD_3000
CCTV-5+体育赛事,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV5plusHD_7000
CCTV-16奥林匹克,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=1617_4500
CCTV-16奥林匹克,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=1617_1500
广东体育,http://www.kitcc.cn:8888/udp/239.77.0.112:5146
广东体育,http://www.kitcc.cn:8888/udp/239.77.0.168:5146
广东体育,http://www.kitcc.cn:8888/udp/239.77.0.6:5146
广东体育,http://www.kitcc.cn:8888/udp/239.77.1.97:5146
广东体育(备),http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=gdsportsHD_7000
广东体育(备),http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=gdsportsHD_3000
广州竞赛,http://www.kitcc.cn:8888/udp/239.253.43.75:5146
广州竞赛,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzjs
广州竞赛(备),http://wxwxw.qwl1965.top:8890/广东谷豆/gudousy.php?id=gzcompetition_1500
深圳体育,http://www.kitcc.cn:8888/udp/239.77.1.140:5146
深圳体育,http://www.kitcc.cn:8888/udp/239.77.1.0128:5146
武术世界,http://www.kitcc.cn:8888/udp/239.77.1.108:5146
FTV足球频道,http://www.92lovehtc.cn:4022/udp/225.1.2.83:5002
FTV足球频道,http://www.92lovehtc.cn:4022/udp/225.1.2.84:5002
新视觉,http://www.372583307.top:4022/udp/233.50.201.244:5140
新视觉,http://wxwxw.qwl1965.top:8890/洂悱囩/亦非云.php?id=43082
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
CCTV央视台球,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXyinglunHD_7000
五星体育,http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
五星体育1,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
足球,http://111.20.33.93/PLTV/88888893/224/3221226347/index.m3u8
台球,http://111.20.33.93/PLTV/88888893/224/3221226348/index.m3u8
弈坛春秋,http://111.20.33.93/PLTV/88888893/224/3221226245/index.m3u8
北京冬奥纪实,http://111.20.33.93/PLTV/88888893/224/3221226232/index.m3u8
北京冬奥纪实,http://wxwxw.qwl1965.top:8890/洂悱囩/亦非云.php?id=11001
极速汽车,http://111.20.33.93/PLTV/88888893/224/3221226574/index.m3u8
弈坛春秋,http://39.134.19.5/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
先锋乒羽,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=pingyu_1500
先锋乒羽,http://www.zonekeyxj.cloud:4000/udp/238.125.5.102:5140
山东体育,http://zhuji.sdrnwl.cn:9901/tsfile/live/1008_1.m3u8


🏡谷豆-央卫,#genre#
G导视高清FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=GHDdaoshi_7500&/PLTV/hls.smil.m3u8
全纪实FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=quanjishiHD_7000&/PLTV/hls.smil.m3u8
求索纪录FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=QSJLHD_7000&/PLTV/hls.smil.m3u8
求索科学FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=qiusuokexueHD_7000&/PLTV/hls.smil.m3u8
求索动物FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=QSDWHD_7000&/PLTV/hls.smil.m3u8
求索生活FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=QSSHHD_7000&/PLTV/hls.smil.m3u8
CCTV-第一剧场FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXyinghuaHD_7000&/PLTV/hls.smil.m3u8
CCTV-怀旧剧场FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXjuchangHD_7000&/PLTV/hls.smil.m3u8
CCTV-女性时尚FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXyuanxianHD_7000&/PLTV/hls.smil.m3u8
CCTV-世界地理FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXhanliuHD_7000&/PLTV/hls.smil.m3u8
CCTV-央视文化精品FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXyijiaHD_7000&/PLTV/hls.smil.m3u8
CCTV-央视台球FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXyinglunHD_7000&/PLTV/hls.smil.m3u8
CCTV-风云音乐FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=DOXxinyiHD_7000&/PLTV/hls.smil.m3u8
劲爆体育FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=jinbaotiyuHD_7000&/PLTV/hls.smil.m3u8
魅力足球FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=meiliyinyueHD_7000&/PLTV/hls.smil.m3u8
广东珠江FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=gdzhujiangHD_7500&/PLTV/hls.smil.m3u8
广东经济科教FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=GDjingjikejiaoHD_7000&/PLTV/hls.smil.m3u8
广东体育FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=gdsportsHD_7000&/PLTV/hls.smil.m3u8
广东综艺4K,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=GDZYHD4K_38000&/PLTV/hls.smil.m3u8
汕头综合FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=shantouyitaogaoqing_4500&/PLTV/hls.smil.m3u8
汕头经济生活FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=shantouertaogaoqing_4500&/PLTV/hls.smil.m3u8
汕头文旅体育FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=2508_4500&/PLTV/hls.smil.m3u8
梅州-1FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=meizhou1HD_4500&/PLTV/hls.smil.m3u8
客家生活FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=meizhou2HD_4500&/PLTV/hls.smil.m3u8
CHC高清电影,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CHCHD_7000&/PLTV/hls.smil.m3u8
CCTV4K,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTVHHD4K_38000&/PLTV/hls.smil.m3u8
CCTV-1FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV1HD_7000&/PLTV/hls.smil.m3u8
CCTV-2FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV2HD_7000&/PLTV/hls.smil.m3u8
CCTV-3FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV3HD_7000&/PLTV/hls.smil.m3u8
CCTV-4FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV-4HD_7500&/PLTV/hls.smil.m3u8
CCTV-5FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV5HD_7000&/PLTV/hls.smil.m3u8
CCTV-5+FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV5plusHD_7000&/PLTV/hls.smil.m3u8
CCTV-6FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV6HD_7000&/PLTV/hls.smil.m3u8
CCTV-7FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV7HD_7000&/PLTV/hls.smil.m3u8
CCTV-8FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV8HD_7000&/PLTV/hls.smil.m3u8
CCTV-9FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV9HD_7000&/PLTV/hls.smil.m3u8
CCTV-10FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV10HD_7000&/PLTV/hls.smil.m3u8
CCTV-11FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV-11HD_7500&/PLTV/hls.smil.m3u8
CCTV-12FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV12HD_7000&/PLTV/hls.smil.m3u8
CCTV-13FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV13HD_7500&/PLTV/hls.smil.m3u8
CCTV-14FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV14HD_7000&/PLTV/hls.smil.m3u8
CCTV-15FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV-15HD_7500&/PLTV/hls.smil.m3u8
CCTV-16FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=1617_4500&/PLTV/hls.smil.m3u8
CCTV-16FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=1617_1500&/PLTV/hls.smil.m3u8
CCTV-17FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=CCTV17HD_7500&/PLTV/hls.smil.m3u8
广东卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=guangdongHD_7000&/PLTV/hls.smil.m3u8
深圳卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=shenzhenHD_7000&/PLTV/hls.smil.m3u8
东方卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=dongfangHD_7000&/PLTV/hls.smil.m3u8
北京卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=beijingHD_7000&/PLTV/hls.smil.m3u8
湖南卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=hunanHD_7000&/PLTV/hls.smil.m3u8
浙江卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=zhejiangHD_7000&/PLTV/hls.smil.m3u8
四川卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=sichuanHD_7000&/PLTV/hls.smil.m3u8
江苏卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=jiangsuHD_7000&/PLTV/hls.smil.m3u8
重庆卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=chongqingHD_7000&/PLTV/hls.smil.m3u8
贵州卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=guizhouHD_7000&/PLTV/hls.smil.m3u8
河北卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=hebeiHD_7000&/PLTV/hls.smil.m3u8
辽宁卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=liaoningHD_7000&/PLTV/hls.smil.m3u8
天津卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=tianjinHD_7000&/PLTV/hls.smil.m3u8
山东卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=shandongHD_7000&/PLTV/hls.smil.m3u8
湖北卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=hubeiHD_7000&/PLTV/hls.smil.m3u8
安徽卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=anhuiHD_7000&/PLTV/hls.smil.m3u8
黑龙江卫视FHD,http://wvwvw.qwl1965.top:8890/广东谷豆/gudousy.php?id=heilongjiangHD_7000&/PLTV/hls.smil.m3u8


⚛️广电-央卫,#genre#
CCTV1综合,http://www.kitcc.cn:8888/udp/239.77.0.86:5146
CCTV1综合,http://www.kitcc.cn:8888/udp/239.77.1.17:5146
CCTV2财经,http://www.kitcc.cn:8888/udp/239.77.0.137:5146
CCTV2财经,http://www.kitcc.cn:8888/udp/239.77.1.158:5146
CCTV3综艺,http://www.kitcc.cn:8888/udp/239.77.0.169:5146
CCTV3综艺,http://www.kitcc.cn:8888/udp/239.77.0.175:5146
CCTV3综艺,http://www.kitcc.cn:8888/udp/239.77.0.169:5146
CCTV4中文国际,http://www.kitcc.cn:8888/udp/239.77.1.0166:5146
CCTV4中文国际,http://www.kitcc.cn:8888/udp/239.77.0.78:5146
CCTV4中文国际,http://www.kitcc.cn:8888/udp/239.77.1.163:5146
CCTV5体育,http://www.kitcc.cn:8888/udp/239.77.0.170:5146
CCTV5体育,http://www.kitcc.cn:8888/udp/239.77.0.177:5146
CCTV-5+体育赛事,http://www.kitcc.cn:8888/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://www.kitcc.cn:8888/udp/239.77.1.31:5146
CCTV6电影,http://www.kitcc.cn:8888/udp/239.77.0.171:5146
CCTV7国防军事,http://www.kitcc.cn:8888/udp/239.77.0.138:5146
CCTV7国防军事,http://www.kitcc.cn:8888/udp/239.77.1.159:5146
CCTV8电视剧,http://www.kitcc.cn:8888/udp/239.77.0.172:5146
CCTV8电视剧,http://www.kitcc.cn:8888/udp/239.77.0.181:5146
CCTV9记录,http://www.kitcc.cn:8888/udp/239.77.0.135:5146
CCTV9记录,http://www.kitcc.cn:8888/udp/239.77.1.160:5146
CCTV10科教,http://www.kitcc.cn:8888/udp/239.77.0.134:5146
CCTV10科教,http://www.kitcc.cn:8888/udp/239.77.1.113:5146
CCTV11戏曲,http://www.kitcc.cn:8888/udp/239.77.1.238:5146
CCTV11戏曲,http://www.kitcc.cn:8888/udp/239.77.0.40:5146
CCTV11戏曲,http://www.kitcc.cn:8888/udp/239.77.1.42:5146
CCTV12社会与法,http://www.kitcc.cn:8888/udp/239.77.0.136:5146
CCTV12社会与法,http://www.kitcc.cn:8888/udp/239.77.1.109:5146
CCTV13新闻,http://www.kitcc.cn:8888/udp/239.77.0.188:5146
CCTV13新闻,http://www.kitcc.cn:8888/udp/239.253.43.196:5146
CCTV13新闻,http://www.kitcc.cn:8888/udp/239.77.0.42:5146
CCTV13新闻,http://www.kitcc.cn:8888/udp/239.77.1.26:5146
