🇨🇳｜央视,#genre#
CCTV-3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231682/index.m3u8
CCTV-3HD,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4中文国际美洲,http://117.148.179.158/PLTV/88888888/224/3221231654/index.m3u8
CCTV-4中文国际欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225753/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4HD,http://111.20.33.93/PLTV/88888893/224/3221226223/index.m3u8
CCTV-4HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-4HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4HD,http://221.179.136.134:443/PLTV/88888888/224/3221226470/1.m3u8
CCTV-4HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225775/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-5+HD,http://117.148.179.136/PLTV/88888888/224/3221231459/1.m3u8
CCTV-5+HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-5+HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+HD,http://39.134.65.181/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV-5+HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV-5+HD,http://140.207.241.3:8080/live/program/live/cctv5phd/4000000/d1.m3u8
CCTV-5+HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-5+HD,http://39.134.65.183/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225621/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-5+HD,http://117.148.179.160/PLTV/88888888/224/3221231535/index.m3u8
CCTV-5+HD,http://39.134.65.162/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://117.148.179.160/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+HD,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://111.40.196.9/PLTV/88888888/224/3221225767/index.m3u8
CCTV-5HD,http://39.134.65.179/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/index.m3u8
CCTV-5HD,http://111.40.196.9/PLTV/88888888/224/3221225733/index.m3u8
CCTV-5HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5HD,http://39.134.65.181/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5HD,http://111.40.196.9/PLTV/88888888/224/3221225559/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV-5HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5HD,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV-5HD,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233115/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8
CCTV-6HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-6HD,http://39.134.65.177/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225683/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-6HD,http://39.134.65.175/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6HD,http://140.207.241.3:8080/live/program/live/cctv6hd/4000000/d1.m3u8
CCTV-6HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV-6HD,http://39.134.65.181/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6HD,http://39.134.65.183/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6HD,http://117.148.179.160/PLTV/88888888/224/3221231724/index.m3u8
CCTV-6HD,http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7HD,http://39.134.65.181/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8
CCTV-7HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV-7HD,http://39.134.65.179/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-7HD,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV-7HD,http://39.134.65.164/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231633/index.m3u8
CCTV-7HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8HD,http://39.134.65.183/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8HD,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV-8HD,http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8
CCTV-8HD,http://140.207.241.3:8080/live/program/live/cctv8hd/4000000/d1.m3u8
CCTV-8HD,http://39.134.65.181/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8HD,http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-8HD,http://39.134.65.175/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231694/index.m3u8
CCTV-8HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV-8HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8
CCTV-8HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225630/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-8HD,http://39.134.65.177/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233350/index.m3u8
CCTV-9HD,http://39.134.65.166/PLTV/88888888/224/3221225676/1.m3u8
CCTV-9HD,http://39.134.65.183/PLTV/88888888/224/3221225676/1.m3u8
CCTV-9HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231697/index.m3u8
CCTV-9HD,http://39.134.65.173/PLTV/88888888/224/3221225676/1.m3u8
CCTV-9HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225633/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-9HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8
CCTV-9HD,http://117.148.179.160/PLTV/88888888/224/3221231697/index.m3u8
CCTV-9HD,http://39.134.65.181/PLTV/88888888/224/3221225676/1.m3u8
CCTV-9HD,http://39.134.65.179/PLTV/88888888/224/3221225676/1.m3u8
CCTV-9HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV-9HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-9HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-10HD,http://111.40.196.9/PLTV/88888888/224/3221225567/index.m3u8
CCTV-10HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8
CCTV-10HD,http://39.134.65.183/PLTV/88888888/224/3221225677/1.m3u8
CCTV-10HD,http://117.148.179.160/PLTV/88888888/224/3221231666/index.m3u8
CCTV-10HD,http://39.134.65.166/PLTV/88888888/224/3221225677/1.m3u8
CCTV-10HD,http://39.134.65.181/PLTV/88888888/224/3221225677/1.m3u8
CCTV-10HD,http://117.148.179.160/PLTV/88888888/224/3221232492/index.m3u8
CCTV-10HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-10HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV-10HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV-10HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225624/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-10HD,http://39.134.65.164/PLTV/88888888/224/3221225677/1.m3u8
CCTV-10HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231666/index.m3u8
CCTV-10HD,http://39.134.65.179/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11HD,http://39.134.65.183/PLTV/88888888/224/3221225517/1.m3u8
CCTV-11HD,http://39.134.65.179/PLTV/88888888/224/3221225517/1.m3u8
CCTV-11HD,http://39.134.65.181/PLTV/88888888/224/3221225517/1.m3u8
CCTV-11HD,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8
CCTV-11HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225739/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-11HD,http://39.134.65.175/PLTV/88888888/224/3221225517/1.m3u8
CCTV-11HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225750/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-11HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV-11HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231711/index.m3u8
CCTV-11HD,http://111.40.196.9/PLTV/88888888/224/3221225496/index.m3u8
CCTV-11HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-12HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225670/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-12HD,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8
CCTV-12HD,http://39.134.65.181/PLTV/88888888/224/3221225669/1.m3u8
CCTV-12HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV-12HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225645/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-12HD,http://39.134.65.164/PLTV/88888888/224/3221225669/1.m3u8
CCTV-12HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV-12HD,http://39.134.65.166/PLTV/88888888/224/3221225669/1.m3u8
CCTV-12HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8
CCTV-12HD,http://39.134.65.179/PLTV/88888888/224/3221225669/1.m3u8
CCTV-12HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231660/index.m3u8
CCTV13新闻,http://media.hndyjyfw.gov.cn/live/jz-cctv-13/live.m3u8
CCTV13新闻,https://epg.pm/stream/d2d47e128d218edd4e8b50de29815d7c52dfa82d3e54c2e192259140e45e8a91.m3u8
CCTV13新闻,https://epg.pm/stream/fa15254ea70ab405bea95d0b2e072512fd24a3f9b86f1f5016e017bd0434b849.m3u8
CCTV13新闻,https://epg.pm/stream/5fc8026642dc4b365cce8efae1cd1bc7e0093273d65a6515eef53545721b06c6.m3u8
CCTV13新闻,http://39.135.32.10:6610/000000001000/HD-8000k-1080P-cctv13/1.m3u8?IASHttpSessionId=OTT
CCTV13新闻,http://183.207.249.71/ott.js.chinamobile.com/PLTV/3/224/3221225560/index.m3u8
CCTV13新闻,http://39.134.32.103:6610/270000001111/1110000161/index.m3u8?IASHttpSessionId=OTT
CCTV13新闻,http://39.136.48.11:8089/PLTV/88888888/224/3221226328/index.m3u8
CCTV13新闻,http://39.134.65.183/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV13新闻,http://39.134.65.173/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://ncyd.jilu8.cn:80/PLTV/88888910/224/3221225638/index.m3u8
CCTV13新闻,http://39.134.65.175/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://39.134.65.141/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻http://39.134.65.177/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231636/index.m3u8
CCTV13新闻,http://39.134.65.181/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225673/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-14HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV-14HD,http://117.148.179.160/PLTV/88888888/224/3221231648/index.m3u8
CCTV-14HD,http://39.134.65.173/PLTV/88888888/224/3221225674/1.m3u8
CCTV-14HD,http://39.134.65.181/PLTV/88888888/224/3221225674/1.m3u8
CCTV-14HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225648/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-14HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV-14HD,http://39.134.65.164/PLTV/88888888/224/3221225674/1.m3u8
CCTV-14HD,http://39.134.65.183/PLTV/88888888/224/3221225674/1.m3u8
CCTV-14HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231648/index.m3u8
CCTV-14HD,http://140.207.241.3:8080/live/program/live/cctvsehd/4000000/d1.m3u8
CCTV-14HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8
CCTV-14HD,http://39.134.65.179/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-15HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225830/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-15HD,http://39.134.65.173/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15HD,http://39.134.65.162/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15HD,http://39.134.65.181/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231693/index.m3u8
CCTV-15HD,http://39.134.65.183/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
CCTV-15HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-15HD,http://117.148.179.160/PLTV/88888888/224/3221231693/index.m3u8
CCTV-15HD,http://39.134.65.175/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15HD,http://111.40.196.9/PLTV/88888888/224/3221225500/index.m3u8
CCTV-16奥林匹克,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV-16奥林匹克,http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8
CCTV-16奥林匹克,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233442/index.m3u8
CCTV-17农业农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8
CCTV-17农业农村,http://39.134.65.183/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17农业农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
CCTV-17农业农村,http://39.134.65.181/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17农业农村,http://117.148.179.160/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17农业农村,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17农业农村,http://39.135.32.28:6610/PLTV/77777777/224/3221225513/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-兵器科技,http://117.148.179.157/PLTV/88888888/224/3221231573/index.m3u8
CCTV-兵器科技,http://117.148.179.157/PLTV/88888888/224/3221231573/index.m3u8
CCTV-第一剧场,http://117.148.179.157/PLTV/88888888/224/3221231540/index.m3u8
CCTV-电视指南,http://117.148.179.157/PLTV/88888888/224/3221231571/index.m3u8
CCTV-风云剧场,http://117.148.179.157/PLTV/88888888/224/3221231604/index.m3u8
CCTV-风云足球,http://117.148.179.157/PLTV/88888888/224/3221231547/index.m3u8
CCTV-高尔夫网球,http://117.148.179.160/PLTV/88888888/224/3221231619/index.m3u8
CCTV-高尔夫网球,http://117.148.179.147/PLTV/88888888/224/3221231619/index.m3u8
CCTV-怀旧剧场,http://117.148.179.157/PLTV/88888888/224/3221231544/index.m3u8
CCTV-怀旧剧场,http://117.148.179.158/PLTV/88888888/224/3221231544/index.m3u8
CCTV-女性时尚,http://111.20.33.93/PLTV/88888893/224/3221226237/index.m3u8
CCTV-女性时尚,http://117.148.179.160/PLTV/88888888/224/3221231598/index.m3u8
CCTV-世界地理,http://117.148.179.157/PLTV/88888888/224/3221231537/index.m3u8
CCTV-世界地理,http://117.148.179.160/PLTV/88888888/224/3221231537/index.m3u8
CCTV-卫生健康,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
CCTV-央视台球,http://117.148.179.157/PLTV/88888888/224/3221231616/index.m3u8
CCTV-央视台球,http://117.148.179.157/PLTV/88888888/224/3221232875/index.m3u8
CCTV-央视文化精品,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513803.m3u8
CCTV-央视文化精品,http://117.148.179.147/PLTV/88888888/224/3221231561/index.m3u8
CCTV-央视文化精品,http://117.148.179.157/PLTV/88888888/224/3221231561/index.m3u8
CCTV1-综合频道,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV1-综合频道,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
CCTV2-财经频道,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV2-财经频道,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
CCTV4-美国,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CCTV4-欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV4-中文国际,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV5+体育赛事,http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV5+体育赛事,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV5HD,http://39.136.66.36/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV5HD,http://39.136.66.36/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
CCTV5HD,http://39.136.66.36/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226043/1/index.m3u8?fmt=ts2hls
CCTV5HD,http://39.136.66.36/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226259/1/index.m3u8?fmt=ts2hls
CCTV6-电影频道,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV7-国防军事,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV9-记录频道,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV10-科教频道,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
CCTV10-科教频道,http://117.148.179.164/PLTV/88888888/224/3221232492/index.m3u8
CCTV11-戏曲频道,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8
CCTV12-社会与法,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV13-新闻频道,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV15-音乐频道,http://117.148.179.169/PLTV/88888888/224/3221231693/index.m3u8
CCTV17-农村频道,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CGTN,http://39.135.32.28:6610/PLTV/77777777/224/3221225816/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CGTN,http://39.134.65.166/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.135.138.58:18890/PLTV/88888888/224/3221225747/index.m3u8
CGTN,http://140.207.241.3:8080/live/program/live/ottcctvnews/1300000/d1.m3u8
CGTN,http://117.148.179.160/PLTV/88888888/224/3221231592/index.m3u8
CGTN,https://live.cgtn.com/1000/prog_index.m3u8
CGTN,http://39.134.65.162/PLTV/88888888/224/3221225510/1.m3u8
CGTN阿拉伯语,http://117.148.179.157/PLTV/88888888/224/3221231579/index.m3u8
CGTN阿拉伯语,http://39.135.32.28:6610/PLTV/77777777/224/3221225822/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CGTN阿拉伯语,http://117.148.179.160/PLTV/88888888/224/3221231579/index.m3u8
CGTN俄罗斯语,http://117.148.179.157/PLTV/88888888/224/3221231591/index.m3u8
CGTN俄罗斯语,http://117.148.179.160/PLTV/88888888/224/3221231591/index.m3u8
CGTN法语,http://117.148.179.160/PLTV/88888888/224/3221231550/index.m3u8
CGTN法语,http://117.148.179.157/PLTV/88888888/224/3221231550/index.m3u8
CGTN法语,http://39.135.32.28:6610/PLTV/77777777/224/3221225878/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CGTN纪录,http://39.134.65.166/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.135.32.28:6610/PLTV/77777777/224/3221225707/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CGTN纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
CGTN纪录,http://39.134.65.162/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://117.148.179.160/PLTV/88888888/224/3221231492/index.m3u8
CGTN纪录,http://111.40.196.9/PLTV/88888888/224/3221225536/index.m3u8
CGTN西班牙语,http://117.148.179.160/PLTV/88888888/224/3221231546/index.m3u8
CGTN西班牙语,http://39.135.32.28:6610/PLTV/77777777/224/3221225875/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CGTN西班牙语,http://117.148.179.157/PLTV/88888888/224/3221231546/index.m3u8
CHC动作电影,http://111.20.41.248/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC动作电影,http://117.148.179.157/PLTV/88888888/224/3221231580/index.m3u8
CHC动作电影,http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8
CHC高清电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
CHC高清电影,http://111.20.33.93/PLTV/88888893/224/3221226463/index.m3u8
CHC高清电影,http://111.20.106.13:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CHC家庭影院,http://117.148.179.157/PLTV/88888888/224/3221231799/index.m3u8
